URSI,avg_degree,max_degree,std_degree,avg_strength,max_strength,total_strength,std_strength,density,avg_edge_weight,clustering_coef,transitivity,avg_betweenness,avg_eigenvector
M87192637,31.65714285714286,60,12.920510509911542,40778.75714285715,198381.0,2854513.0,41778.5377435714,0.4587991718426501,1288.1376353790613,0.028530244938167637,0.6821230313230012,0.043492686929844405,0.07166460546198007
M87161902,25.085714285714285,55,10.444058949801976,27469.985714285714,111294.5,1922899.0,23223.016835054492,0.3635610766045549,1095.0449886104784,0.03931715413588645,0.6193470859202884,0.05735700077132303,0.07771254775409428
M87191258,29.17142857142857,57,11.783731434932324,35863.07142857143,156336.5,2510415.0,35011.13819540512,0.4227743271221532,1229.390303623898,0.03377143502946975,0.650626059542575,0.045689116226200616,0.07155749491568537
M87102806,26.685714285714287,60,10.841115990448925,31247.22857142857,139123.0,2187306.0,31584.357088674424,0.3867494824016563,1170.9346895074946,0.02944826557894535,0.6425064047822374,0.04313065806032559,0.07061553988394574
M87114064,29.257142857142856,60,11.808817183160475,42784.04285714286,186409.0,2994883.0,44753.190430543036,0.4240165631469979,1462.34521484375,0.03519111453950906,0.6793825408090844,0.05427475337961271,0.07096022112714206
M87179511,26.97142857142857,55,10.821897679601072,39306.95714285714,173622.5,2751487.0,34445.067763007275,0.3908902691511387,1457.355402542373,0.0413096884104157,0.6508247134470226,0.053072006141059856,0.07840071251805598
M87146520,28.771428571428572,56,11.915381929699619,39141.97142857143,177614.0,2739938.0,41302.0668621426,0.41697722567287787,1360.4458788480636,0.03763414915494102,0.6795202671929558,0.05422654569074007,0.07182727023354601
M87156106,31.085714285714285,58,13.057830553943877,37081.885714285716,163459.5,2595732.0,40173.194843005476,0.4505175983436853,1192.891544117647,0.032963065782297116,0.7019973644091884,0.05145443684720265,0.06923585743558584
M87179597,27.314285714285713,62,11.272650667044752,27377.6,121411.5,1916432.0,24269.514732272666,0.3958592132505176,1002.3179916317991,0.03807734397477366,0.6382245642480746,0.04764239028944912,0.07572337772763238
M87141858,24.97142857142857,59,11.134209098310393,29993.628571428573,120443.0,2099554.0,30311.52536290984,0.3619047619047619,1201.1178489702518,0.03648606606413834,0.6284697508896797,0.05060893922786506,0.07006857524873802
M87145575,33.4,61,13.705473359209451,32891.75714285715,162698.5,2302423.0,31034.571107849435,0.48405797101449277,984.7831479897349,0.031391412629620835,0.72,0.0422837250842366,0.07935187746793863
M87185000,26.257142857142856,52,10.863682241152615,28033.557142857142,136823.5,1962349.0,26706.445583756802,0.38053830227743274,1067.6545157780197,0.031955830670086886,0.6491112574061882,0.05507484153081522,0.0740669976874088
M87117119,29.2,60,12.922405791050341,32817.4,134422.0,2297218.0,31543.676052827363,0.42318840579710143,1123.8835616438357,0.03165969117676952,0.6655127650367806,0.04766979255470305,0.07496414297489358
